"1:...新的教育实践有指导意义。高等师范院校学生学习教育学，是为了在[走]上中学教师岗位后能做好教育工作，成为一名合格的教师。有一种观点...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",上中学教师岗位后能做好教育工作，成为一名合格的教师。有一种观点...,上(v),中学(n),教师(n),岗位(n),后(f),能(v),做好(v),教育(n),工作(n),，(w),成为(v),一名(m),合格(a),的(u),教师(n),。(w),有(v),一种(m),观点(n),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2:　　发展教育事业，提高劳动者素质，[走]教育兴国这条必由之路，是世界发达国家振兴经济的历史经验，也是我...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",教育兴国这条必由之路，是世界发达国家振兴经济的历史经验，也是我...,教育(n),兴国(v),这(r),条(q),必由之路(n),，(w),是(v),世界(n),发达国家(n),振兴(v),经济(n),的(u),历史(n),经验(n),，(w),也是(v),我(r),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3:...降生的人，具有由遗传决定的人的发展可能性。但由于幼小时被狼叼[走]养育，没有接受过人类社会环境和教育的影响，当她们被人发现时，已经不能直立行[走]，而是像狼一样四肢落地并养成了狼的生活习性，没有人的语言和思维...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",养育，没有接受过人类社会环境和教育的影响，当她们被人发现时，已经不能直立行[走]，而是像狼一样四肢落地并养成了狼的生活习性，没有人的语言和思维...,养育(v),，(w),没有(v),接受(v),过(u),人类(n),社会(n),环境(n),和(c),教育(vn),的(u),影响(vn),，(w),当(p),她们(r),被(p),人(n),发现(v),时(n),，(w),已经(d),不能(v),直立(v),行(v),[(w),走(v),](w),，(w),而是(v),像(v),狼(n),一样(a),四肢(n),落地(v),并(c),养成(v),了(u),狼(n),的(u),生活(n),习性(n),，(w),没有人(r),的(u),语言(n),和(c),思维(n),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:　　初中男女学生的身心发展往往是性生理成熟[走]在性道德成熟前面。因此，要抓紧抓好性道德和性法制教育，使他们能...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",在性道德成熟前面。因此，要抓紧抓好性道德和性法制教育，使他们能...,在(p),性道德(n),成熟(a),前面(f),。(w),因此(c),，(w),要(v),抓紧(v),抓好(v),性道德(n),和(c),性(n),法制(n),教育(vn),，(w),使(v),他们(r),能(v),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5:　　为了使我国尽快[走]上以法治教的轨道，在邓小平同志1985年全国教育工作会议上讲话...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",上以法治教的轨道，在邓小平同志1985年全国教育工作会议上讲话...,上(f),以(p),法治(n),教(v),的(u),轨道(n),，(w),在(p),邓小平(),同志(n),1985年(),全国(n),教育(vn),工作会议(n),上(f),讲话(v),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6:...实施，分类指导，在一个省内，县、市内也不能""一刀切""、""齐步[走]""。所以，不仅应一个县一个县地规划，而且还应一个乡一个乡地调查...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
","""。所以，不仅应一个县一个县地规划，而且还应一个乡一个乡地调查...","""(w)",。(w),所以(c),，(w),不仅(c),应(v),一个(m),县(n),一个(m),县地(n),规划(v),，(w),而且(c),还(d),应(v),一个(m),乡(n),一个(m),乡地(n),调查(v),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7:...往往突出个人的自由发展。日本和德国从封建社会到资本主义制度，[走]的都是自上而下的君主立宪的改良主义的""维新""道路，但是民族的历...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
","的都是自上而下的君主立宪的改良主义的""维新""道路，但是民族的历...",的(u),都是(v),自上而下(d),的(u),君主立宪(vn),的(u),改良主义(nz),的(u),"""(w)",维新(vn),"""(w)",道路(n),，(w),但是(c),民族(n),的(u),历(n),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8:...有制和阶级对立，脑力劳动和体力劳动的他离和对立，使得人的发展[走]向片面。马克思写道：""工场手工业把工人变成畸形物，它压抑工人的...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
","向片面。马克思写道：""工场手工业把工人变成畸形物，它压抑工人的...",向(p),片面(a),。(w),马克思(),写道(v),：(w),"""(w)",工场(n),手工业(n),把(p),工人(n),变成(v),畸形物(n),，(w),它(r),压抑(v),工人(n),的(u),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9:...产阶级革命事业，忠于马克思列宁主义毛泽东思想的优秀人才，将来[走]上工作岗位，成为有很高的政治责任心和集体主义精神，有坚定的革命...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",上工作岗位，成为有很高的政治责任心和集体主义精神，有坚定的革命...,上(f),工作岗位(n),，(w),成为(v),有(v),很高(a),的(u),政治(n),责任心(n),和(c),集体主义(nz),精神(n),，(w),有(v),坚定(a),的(u),革命(vn),.(w),.(w),.(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10:...《义务教育法》的里程碑意义，最重要的就体现在从过去的各自发展[走]上今天的均衡发展的道路。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
",上今天的均衡发展的道路。,上(f),今天(),的(u),均衡(a),发展(vn),的(u),道路(n),。(w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
